Parking_Violations
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Violation Location,Issuer Precinct,Violation Time,Violation County,Vehicle Color,Vehicle Year
1496016208,KNZ8900,NY,PAS,10/03/2025,98,SUBN,LEXUS,P,61,61,0950A,K,BLK,2025
1488042550,KSE7261,NY,PAS,10/03/2025,17,SDN,ME/BE,P,7,804,0517P,,GRAY,0
1492957148,HVY3681,NY,PAS,10/04/2025,98,SDN,HONDA,P,107,107,0849P,NY,,0
1496836947,LUI593,NY,SPO,10/04/2025,63,SDN,HONDA,K,110,3,1019P,Q,GRAY,2022
1491558120,Y205623C,NY,999,10/04/2025,46,TAXI,FORD,P,6,6,1006P,NY,YELL,2022
1496016210,58861,VA,PAS,10/04/2025,14,SUBN,FORD,P,61,61,0240P,K,GRAY,0
1497774020,KUH1679,NY,PAS,10/05/2025,14,,NISSA,P,45,45,0113P,BX,,0
1497860258,KSE3113,99,PAS,10/05/2025,14,SDN,NISSA,P,84,84,0140P,K,GY,2014
1498241669,LBV2714,NY,PAS,10/05/2025,46,SUBN,HONDA,P,52,52,1018P,BX,,2016
1442460519,KYY7832,NY,PAS,10/05/2025,20,SUBN,GMC,K,120,5,0315P,R,BK,2022
1495895452,LDH3942,NC,PAS,10/05/2025,50,SDN,ME/BE,P,79,79,0212P,K,WH,2021
1496478769,URALAN08,NY,PAS,10/06/2025,40,SDN,CHEVR,P,62,62,1206P,K,BLK,2017
1498252655,LFJ4419,NY,PAS,10/06/2025,40,SUBN,NISSA,P,102,102,0530P,Q,RED,2011
1491370439,1KYS65,WV,PAS,10/06/2025,74,SDN,KIA,P,,81,0236A,K,BLK,2013
1497704984,JFY4044,NY,PAS,10/06/2025,14,SDN,VOLKS,P,123,123,0512P,,BLK,2018
1498824304,8XEG507,99,PAS,10/06/2025,46,SUBN,ME/BE,P,77,77,0108A,K,BLK,0
1497618319,TFV3152,VA,PAS,10/06/2025,14,SDN,FORD,P,110,115,0017A,Q,WHITE,0
1491131196,KPR2285,NY,PAS,10/07/2025,14,VAN,FORD,P,33,33,0200P,NY,WHITE,2006
1497884627,X152HN,UT,PAS,10/07/2025,98,,AUDI,P,83,83,0552P,K,,0
1499595189,28913PF,NY,APP,10/07/2025,46,REFG,HIN,P,84,84,1028A,K,WH,2020
1494843183,LFA4032,NY,PAS,10/08/2025,49,,TOYOT,P,123,123,0248A,R,,0
1496925385,30TLR19952,ME,PAS,10/08/2025,66,,HERCU,P,105,105,0830A,Q,RED,0
1495144392,D96V0A,NJ,PAS,10/08/2025,40,SDN,LEXUS,P,19,10,0452P,,SILVE,2022
1498840012,JCX2065,PA,PAS,10/09/2025,74,SUBN,TOYOT,P,83,83,0034A,K,GRAY,2013
1495323547,10632MM,NY,COM,10/10/2025,6,DELV,FRUEH,P,103,103,1200A,Q,WHT,2017
1496490186,ECC8565,NY,PAS,10/10/2025,40,SDN,FORD,P,,62,1025P,,BLK,2008
1497616610,82137MK,NY,COM,10/10/2025,78,VAN,FORD,P,104,104,0125A,Q,WHITE,0
1495323535,C12UNA,NJ,PAS,10/10/2025,40,TRUC,RAM,P,103,103,0105P,Q,WHITE,2021
1493950666,KMM9732,NY,PAS,10/10/2025,40,SDN,HONDA,P,121,121,0825P,R,BLK,2018
1495332457,LHA6707,NY,PAS,10/11/2025,98,SUBN,FORD,P,107,107,1255A,Q,BLK,2011
1481184490,68509MN,NY,PAS,10/11/2025,40,VAN,FORD,T,52,0,0735A,BX,WH,0
1495512174,LLD7374,NY,PAS,10/11/2025,46,SUBN,FORD,P,40,40,0629A,BX,BLUE,2013
1499223912,LVH2284,NY,PAS,10/11/2025,40,SDN,VOLKS,P,48,48,0930A,BX,BLK,0
1495996153,TCL4016,GA,PAS,10/12/2025,19,SDN,BMW,P,114,108,0257A,,SILVE,0
1490282166,E12MAM,NJ,PAS,10/12/2025,14,SDN,HONDA,P,34,34,0820P,NY,,0
1498609636,DXZ4331,NY,PAS,10/12/2025,14,SUBN,HONDA,P,50,50,0815P,BX,GRY,2012
1498608814,212WVJ,NJ,PAS,10/12/2025,46,SDN,HONDA,P,50,50,0325A,,BLK,0
1494801085,T802878C,NY,OMT,10/13/2025,14,SUBN,CHEVR,P,123,123,0115A,R,BLK,2022
1498251079,HMK9138,NY,PAS,10/14/2025,50,VAN,FORD,P,103,103,0727A,,GOLD,2004
1487922796,TZV4738,NY,PAS,10/14/2025,14,SUBN,HONDA,P,26,26,0316P,NY,BLUE,2017
1498839990,LRD 7808.00,NY,PAS,10/15/2025,40,SDN,HONDA,P,83,83,0557A,K,GY,2021
1495638881,JKJ4769,NY,PAS,10/15/2025,53,SDN,TOYOT,P,32,32,0558P,,GRAY,0
1498302257,JES4480,NY,PAS,10/16/2025,46,SUBN,INFIN,P,101,101,1036A,Q,GRY,2019
1499926420,LPG4187,NY,PAS,10/16/2025,70,SUBN,VOLKS,P,107,107,1213P,Q,GRAY,2016
1499406022,LW75403,99,OMT,10/16/2025,19,SDN,,P,34,33,1127P,,,0
1495998502,HVD4888,NY,PAS,10/17/2025,14,SDN,INTER,P,108,108,0230P,Q,W,2015
1495925900,PEF6248,NY,PAS,10/17/2025,98,SUBN,TOYOT,P,72,72,0834P,K,GRAY,2005
1497915090,T134925C,NY,OMT,10/17/2025,46,SUBN,TOYOT,P,10,10,1038A,NY,WHI,2019
1493778389,LKT2059,NY,PAS,10/17/2025,40,SUBN,NISSA,C,45,0,0241A,BX,BLK,2012
1497595460,LPF9086,NY,PAS,10/17/2025,14,P-U,CHEVR,P,104,104,0142A,Q,GREEN,2010
1497776946,SGK0743,GA,PAS,10/17/2025,46,VAN,DODGE,P,45,45,0200P,,BLUE,2008
1497595472,AE15460,AZ,PAS,10/17/2025,40,,,P,104,104,0151A,Q,WHITE,0
1497595484,T665316C,NY,PAS,10/17/2025,20,SUBN,TOYOT,P,104,104,0412A,Q,BLUE,2021
1498609764,LKJ8052,NY,PAS,10/17/2025,14,SUBN,MAZDA,P,50,50,0031A,BX,GRY,2024
1497595459,LKN9774,NY,PAS,10/17/2025,40,SDN,,P,104,104,0110A,Q,RED,0
1497595435,68070ND,NY,COM,10/17/2025,78,VAN,RAM,P,104,104,0046A,Q,WHITE,2018
1489572272,KZH9697,NY,PAS,10/17/2025,17,SDN,MAZDA,O,5,0,1145A,,BLK,2023
1498592960,BLANKPLATE,99,999,10/17/2025,99,SDN,ME/BE,P,45,45,0120P,BX,BK,2023
1476764268,LFZ9356,NY,PAS,10/18/2025,20,SUBN,TOYOT,T,1,105,0210P,NY,GR,2023
1488870706,JEH5059,NY,PAS,10/18/2025,14,SUBN,FORD,P,120,120,1247P,R,BLU,2024
1498824481,72751NC,NY,COM,10/20/2025,78,DELV,INTER,P,77,77,0628A,K,WHT,2015
1498714407,ARMLZ,NY,OMT,10/21/2025,14,SUBN,CADIL,A,115,302,0238P,,BK,2019
1494942240,PN614B,FL,PAS,10/21/2025,40,SUBN,NISSA,P,52,52,1021A,BX,GREY,0
1492416721,304AZ9,NY,MOT,10/22/2025,74,MC,,P,112,112,0538P,Q,GY,2016
1476201523,LBS5133,NY,PAS,10/22/2025,46,SDN,BMW,P,30,862,0219P,,GRN,2003
1494958144,MCE8865,PA,PAS,10/22/2025,99,SDN,,P,96,96,1039P,,BK,0
1495957081,KBY5880,OH,PAS,10/23/2025,53,SDN,NISSA,P,108,108,1035A,Q,BLACK,0
1495934111,T765907C,NY,OMT,10/23/2025,51,SDN,TOYOT,P,108,108,0303A,Q,,2017
1497601010,KKF3039,NY,PAS,10/24/2025,14,SDN,HYUND,P,104,104,0711A,,GY,2013
1495829194,KNK9089,NY,PAS,10/24/2025,40,SDN,ACURA,8,43,2,0307A,BX,WHITE,2015
1492021520,KJP6655,NY,PAS,10/24/2025,98,SDN,HONDA,P,111,111,0935A,,GRAY,2017
1497757034,KGA8832,NY,PAS,10/24/2025,20,,NISSA,P,46,46,0154A,BX,,0
1489510989,KNU9582,NY,PAS,10/25/2025,70,SDN,NISSA,P,67,72,0535P,K,WHITE,2019
